Index,Name,Frequency (MHz),Modulation,CTCSS,Delay (sec),Lockout,Priority
78,Lz PD Zone-G N,158.8050,nfm,none,2,unlocked,off
79,Lz Sheriff,155.4150,nfm,none,2,unlocked,off
80,Lz Prison,155.8800,fm,none,2,unlocked,off
81,Hzltn PD 1,151.1150,fm,none,2,locked,off
82,Kingston PD1,154.9950,fm,none,2,unlocked,off
83,WB City PD Disp,154.8450,fm,none,2,unlocked,off
84,WB City PD Tac 1,154.8000,fm,none,2,unlocked,off
85,WB City PD Tac 2,155.9700,fm,none,2,unlocked,off
86,SqCo PD Elk,154.7250,fm,none,2,unlocked,off
87,WyCo PD Disp,155.1900,fm,none,2,unlocked,off
88,WyCo PD Tac 1,156.2100,fm,none,2,unlocked,off
89,WyCo PD Tac 2,151.1375,fm,none,2,unlocked,off
90,WynCo PD,159.1500,nfm,none,2,unlocked,off
91,WynCo Court,154.0025,nfm,none,2,unlocked,off
92,WynCo Sheriff,460.3625,nfm,none,2,unlocked,off
93,WynCo Jail,453.6625,nfm,none,2,unlocked,off
94,Hawley PD,155.0400,nfm,none,2,unlocked,off
95,Honesdale PD,155.8200,nfm,none,2,unlocked,off
96,,000.0000,auto,none,2,locked,off
97,,000.0000,auto,none,2,locked,off
98,,000.0000,auto,none,2,locked,off
99,,000.0000,auto,none,2,locked,off
100,,000.0000,auto,none,2,locked,on
101,,000.0000,auto,none,2,locked,off
102,,000.0000,auto,none,2,locked,off
103,,000.0000,auto,none,2,locked,off
104,,000.0000,auto,none,2,locked,off
105,,000.0000,auto,none,2,locked,off
